id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
45354534,90%,63%,f,9,9,t,t,Allston,42.35907,-71.1301,Private room in home,Private room,1,2,1,1,$56.00 ,91,200,t,0,22,52,326,6,2,0,61,2,255,14280,5,4.67,4.67,5,5,4.83,4.83,f,9,0,9,0,0.12
45440353,100%,94%,t,3,3,t,t,East Boston,42.36682,-71.02931,Entire condo,Entire home/apt,4,2,2,2,$197.00 ,7,300,t,1,10,25,190,171,54,4,32,51,255,50235,4.94,4.97,4.96,4.95,4.98,4.8,4.88,f,1,1,0,0,2.86
45493742,100%,100%,f,39,74,t,t,Downtown,42.35538,-71.06196,Entire serviced apartment,Entire home/apt,6,2,3,3,$644.00 ,1,365,t,3,4,4,4,353,75,6,4,70,255,164220,4.76,4.83,4.87,4.9,4.95,4.75,4.62,f,39,39,0,0,5.84
45493951,100%,100%,f,39,74,t,t,Downtown,42.35514,-71.06191,Entire serviced apartment,Entire home/apt,4,1,2,2,$638.00 ,1,365,t,13,23,23,23,304,66,1,23,45,255,162690,4.77,4.86,4.88,4.86,4.92,4.85,4.59,f,39,39,0,0,5.02
45494260,100%,100%,f,39,74,t,t,Downtown,42.35726396,-71.06179396,Entire serviced apartment,Entire home/apt,8,2,4,4,$711.00 ,2,365,t,7,8,8,8,293,57,4,8,53,255,181305,4.74,4.77,4.85,4.82,4.87,4.79,4.62,t,39,39,0,0,4.84
45501019,100%,98%,t,2,2,t,f,East Boston,42.37714,-71.03994,Entire home,Entire home/apt,6,1.5,2,5,$264.00 ,2,28,t,6,31,40,40,238,41,5,40,32,246,64944,4.87,4.85,4.88,4.97,4.97,4.7,4.79,f,2,2,0,0,3.98
45502178,100%,100%,f,39,74,t,t,Downtown,42.35558324,-71.06052287,Entire serviced apartment,Entire home/apt,6,2,3,3,$488.00 ,1,365,t,1,4,4,4,350,85,4,4,87,255,124440,4.73,4.79,4.89,4.83,4.85,4.82,4.55,t,39,39,0,0,5.78
45502853,100%,100%,t,4,4,t,f,Charlestown,42.37667,-71.05025,Boat,Entire home/apt,2,1,1,1,$300.00 ,1,1125,t,17,45,75,345,14,0,0,85,1,0,0,4.86,4.71,4.93,5,5,4.93,4.71,t,3,3,0,0,0.24
45531118,90%,99%,t,266,1126,t,t,Fenway,42.34435,-71.08762,Entire rental unit,Entire home/apt,5,2,2,2,$275.00 ,32,270,t,0,0,0,262,0,0,0,0,0,0,0,,,,,,,,t,43,43,0,0,
45531129,90%,99%,t,266,1126,t,t,Fenway,42.34481,-71.08792,Entire rental unit,Entire home/apt,3,1,1,1,$230.00 ,32,270,t,0,26,56,325,0,0,0,65,0,0,0,,,,,,,,t,43,43,0,0,
